"","cntry","idno","psu","stratify","prob","agea","gndr","mnrgtjb","wmcpwrk"
"60","FR",1114,134172,"2                             ",6.7564592e-05,30,1,2,2
"61","FR",1118,134172,"2                             ",0.000135129184,28,1,4,4
"62","FR",1119,134172,"2                             ",0.000135129184,21,1,2,2
"63","FR",1121,134172,"2                             ",6.7564592e-05,49,2,3,4
"64","FR",1122,134172,"2                             ",0.000135129184,38,1,3,3
"65","FR",1123,134172,"2                             ",0.000135129184,31,2,2,2
"66","FR",1125,134172,"2                             ",0.000135129184,30,1,3,2
"67","FR",1131,134270,"2                             ",4.5042976e-05,18,2,5,4
"68","FR",1136,134270,"2                             ",4.5042976e-05,65,1,5,2
"69","FR",1139,134270,"2                             ",0.000135128925,30,1,3,4
"70","FR",1140,134270,"2                             ",0.000135128925,48,1,3,3
"71","FR",1142,134270,"2                             ",0.000135128925,58,2,4,5
"72","FR",1146,135196,"2                             ",6.7563217e-05,51,1,5,5
"73","FR",1148,135196,"2                             ",6.7563217e-05,68,1,3,3
"74","FR",1149,135196,"2                             ",6.7563217e-05,60,2,5,3
"75","FR",1150,135196,"2                             ",6.7563217e-05,61,1,5,4
"76","FR",1151,135196,"2                             ",6.7563217e-05,36,2,4,3
"77","FR",1156,135196,"2                             ",6.7563217e-05,28,1,5,5
"78","FR",1160,135196,"2                             ",6.7563217e-05,57,1,5,5
"79","FR",1162,135196,"2                             ",6.7563217e-05,37,2,5,4
"80","FR",1165,135236,"2                             ",0.00013512632,44,1,5,5
"81","FR",1166,135236,"2                             ",0.00013512632,66,1,5,3
"82","FR",1167,135236,"2                             ",0.00013512632,26,2,4,3
"83","FR",1171,135236,"2                             ",6.756316e-05,66,2,4,5
"84","FR",1172,135236,"2                             ",6.756316e-05,37,2,5,5
"85","FR",1173,135236,"2                             ",6.756316e-05,45,1,5,4
"86","FR",1176,135236,"2                             ",6.756316e-05,41,2,5,5
"87","FR",1177,135236,"2                             ",6.756316e-05,53,1,NA,2
"88","FR",118,106088,"1                             ",0.000511749706,51,2,5,5
"89","FR",1182,135236,"2                             ",6.756316e-05,56,1,5,4
"90","FR",1184,135238,"2                             ",6.0693365e-05,35,1,5,5
"91","FR",1186,135238,"2                             ",0.00012138673,22,1,5,5
"92","FR",1187,135238,"2                             ",6.0693365e-05,29,2,5,5
"93","FR",1189,135238,"2                             ",0.00012138673,25,1,5,5
"94","FR",1191,135238,"2                             ",6.0693365e-05,72,1,4,2
"95","FR",1192,135238,"2                             ",0.00012138673,22,2,5,3
"96","FR",1193,135238,"2                             ",0.00012138673,25,2,5,5
"97","FR",1195,135238,"2                             ",6.0693365e-05,32,2,3,2
"98","FR",1196,135238,"2                             ",0.00012138673,30,2,5,3
"99","FR",1197,135238,"2                             ",0.00012138673,29,2,2,2
"100","FR",1199,135238,"2                             ",0.00012138673,68,2,5,4
"101","FR",12,101053,"2                             ",6.7609256e-05,73,1,5,5
"102","FR",120,106088,"1                             ",0.000511749706,44,1,5,2
"103","FR",1200,135238,"2                             ",6.0693365e-05,19,2,5,2
"104","FR",1211,135360,"2                             ",6.4134969e-05,63,2,2,3
"105","FR",1215,135360,"2                             ",6.4134969e-05,36,2,3,3
"106","FR",1222,137122,"2                             ",0.000135121235,47,2,4,2
"107","FR",1223,137122,"2                             ",0.000135121235,27,1,5,3
"108","FR",1225,137122,"2                             ",6.7560618e-05,39,2,5,1
"109","FR",123,106088,"1                             ",0.00017058324,42,2,5,5
"110","FR",1230,137122,"2                             ",6.7560618e-05,61,1,5,5
"111","FR",1233,137122,"2                             ",0.000135121235,48,2,5,3
"112","FR",1234,137122,"2                             ",6.7560618e-05,67,1,5,2
"113","FR",124,106088,"1                             ",0.000102349943,40,2,2,2
"114","FR",1244,137261,"2                             ",3.9748163e-05,73,2,2,1
"115","FR",1247,137261,"2                             ",7.9496326e-05,85,2,5,4
"116","FR",1248,137261,"2                             ",2.6498776e-05,21,2,5,5
"117","FR",1250,138185,"2                             ",9.3569149e-05,34,2,5,5
"118","FR",1251,138185,"2                             ",9.3569149e-05,66,1,1,2
"119","FR",1254,138185,"2                             ",4.6784574e-05,24,1,5,2
"120","FR",1255,138185,"2                             ",9.3569149e-05,80,1,3,3
"121","FR",1256,138185,"2                             ",9.3569149e-05,30,2,5,4
"122","FR",1259,138185,"2                             ",9.3569149e-05,50,1,4,4
"123","FR",126,106088,"1                             ",0.000511749706,22,2,5,2
"124","FR",1260,138185,"2                             ",4.6784574e-05,31,2,4,3
"125","FR",1262,138318,"2                             ",3.3779505e-05,18,1,4,2
"126","FR",1264,138318,"2                             ",3.3779505e-05,15,1,1,3
"127","FR",1265,138318,"2                             ",6.7559009e-05,41,2,4,2
"128","FR",1268,138318,"2                             ",6.7559009e-05,66,2,1,1
"129","FR",1269,138318,"2                             ",3.3779505e-05,46,1,4,3
"130","FR",1270,138318,"2                             ",6.7559009e-05,71,1,5,5
"131","FR",1271,138318,"2                             ",6.7559009e-05,40,2,5,2
"132","FR",1272,138318,"2                             ",4.5039341e-05,15,1,5,2
"133","FR",1273,138318,"2                             ",0.000135118018,40,1,4,4
"134","FR",1274,138318,"2                             ",6.7559009e-05,60,1,3,3
"135","FR",1275,138318,"2                             ",6.7559009e-05,53,1,3,3
"136","FR",1276,138318,"2                             ",6.7559009e-05,47,2,5,5
"137","FR",1281,138416,"2                             ",0.000135117749,57,2,5,5
"138","FR",1282,138416,"2                             ",0.000135117749,45,2,2,2
"139","FR",1283,138416,"2                             ",6.7558874e-05,25,1,5,4
"140","FR",1286,138416,"2                             ",0.000135117749,82,1,1,5
"141","FR",1287,138416,"2                             ",6.7558874e-05,64,1,1,2
"142","FR",1289,138416,"2                             ",6.7558874e-05,62,2,5,5
"143","FR",1290,138416,"2                             ",6.7558874e-05,30,1,5,5
"144","FR",1291,138416,"2                             ",6.7558874e-05,37,1,4,3
"145","FR",1292,138416,"2                             ",6.7558874e-05,16,2,5,2
"146","FR",1295,138416,"2                             ",6.7558874e-05,33,2,1,1
"147","FR",1296,138416,"2                             ",3.3779437e-05,46,1,4,3
"148","FR",1298,138416,"2                             ",6.7558874e-05,79,1,4,2
"149","FR",1299,138416,"2                             ",3.3779437e-05,46,1,2,2
